station	d_lat	d_lon	gpsweek	date
BCH1	-0.008	0.015	1896	2016-05-11
BCH1	-0.008	0.015	1897	2016-05-18
BCH1	-0.008	0.015	1898	2016-05-25
BCH1	-0.008	0.015	1899	2016-06-01
BCH1	-0.008	0.015	1900	2016-06-08
BCH1	-0.008	0.016	1901	2016-06-15
BCH1	-0.008	0.015	1902	2016-06-22
BCH1	-0.008	0.015	1903	2016-06-29
BCH1	-0.008	0.016	1904	2016-07-06
BCH1	-0.007	0.012	1905	2016-07-13
BCH1	-0.008	0.015	1906	2016-07-20
BCH1	-0.008	0.015	1907	2016-07-27
BCH1	-0.008	0.016	1908	2016-08-03
BCH1	-0.008	0.015	1909	2016-08-10
BCH1	-0.008	0.015	1910	2016-08-17
BCH1	-0.008	0.015	1911	2016-08-24
BCH1	-0.008	0.016	1912	2016-08-31
BCH1	-0.008	0.016	1913	2016-09-07
BCH1	-0.008	0.016	1914	2016-09-14
BCH1	-0.008	0.016	1915	2016-09-21
BCH1	-0.008	0.016	1916	2016-09-28
BCH1	-0.008	0.016	1917	2016-10-05
BCH1	-0.008	0.015	1918	2016-10-12
BCH1	-0.008	0.016	1919	2016-10-19
BCH1	-0.008	0.016	1920	2016-10-26
BCH1	-0.008	0.016	1921	2016-11-02
BCH1	-0.008	0.016	1922	2016-11-09
BCH1	-0.008	0.016	1923	2016-11-16
BCH1	-0.008	0.016	1924	2016-11-23
BCH1	-0.008	0.016	1925	2016-11-30
BCH1	-0.008	0.016	1926	2016-12-07
BCH1	-0.008	0.016	1927	2016-12-14
BCH1	-0.008	0.016	1928	2016-12-21
BCH1	-0.008	0.016	1929	2016-12-28
BCH1	-0.008	0.016	1930	2017-01-04
BCH1	-0.008	0.016	1931	2017-01-11
BCH1	-0.008	0.016	1932	2017-01-18
BCH1	-0.008	0.016	1933	2017-01-25
BCH1	-0.008	0.016	1934	2017-02-01
BCH1	-0.008	0.016	1935	2017-02-08
BCH1	-0.008	0.016	1936	2017-02-15
BCH1	-0.008	0.015	1937	2017-02-22
BCH1	-0.008	0.015	1938	2017-03-01
BCH1	-0.009	0.016	1939	2017-03-08
BCH1	-0.008	0.016	1940	2017-03-15
BCH1	-0.008	0.016	1941	2017-03-22
BCH1	-0.008	0.016	1942	2017-03-29
BCH1	-0.009	0.016	1943	2017-04-05
BCH1	-0.008	0.016	1944	2017-04-12
BCH1	-0.008	0.016	1945	2017-04-19
BCH1	-0.009	0.016	1946	2017-04-26
BCH1	-0.009	0.016	1947	2017-05-03
BCH1	-0.009	0.016	1948	2017-05-10
BCH1	-0.009	0.016	1949	2017-05-17
BCH1	-0.008	0.016	1950	2017-05-24
BCH1	-0.008	0.016	1952	2017-06-07
BCH1	-0.009	0.016	1953	2017-06-14
BCH1	-0.008	0.016	1954	2017-06-21
BCH1	-0.009	0.016	1955	2017-06-28
BCH1	-0.009	0.016	1956	2017-07-05
BCH1	-0.009	0.016	1957	2017-07-12
BCH1	-0.009	0.016	1958	2017-07-19
BCH1	-0.008	0.015	1959	2017-07-26
BCH1	-0.009	0.016	1960	2017-08-02
BCH1	-0.009	0.016	1961	2017-08-09
BCH1	-0.009	0.016	1962	2017-08-16
BCH1	-0.009	0.016	1963	2017-08-23
BCH1	-0.009	0.016	1964	2017-08-30
BCH1	-0.009	0.016	1965	2017-09-06
BCH1	-0.009	0.016	1966	2017-09-13
BCH1	-0.009	0.016	1967	2017-09-20
BCH1	-0.007	0.016	1968	2017-09-27
BCH1	-0.009	0.017	1969	2017-10-04
